Site,SOC,SAND,CLAY,ANPP,MAT,MAP,CDI,SAND2,CLAY2,LIG,N,CN
ARC,4.9,,,141,-7,327,0.071391667,50,5,16.6,1.37,36.49635036
BNZ,6.5,,,300,-5,403,0.097958333,50,5,25.6,0.96,52.08333333
NWT,7.1,50,6,199,-3.7,1249,0.095025,39,23,16.6,1.37,36.49635036
HBR,8.9,71,3,704,5,1396,0.268108333,71,3,21,1.02,49.01960784
CDR,2.5,87,4,277,5.5,823,0.261641667,87,4,16.6,1.37,36.49635036
HFR,4.6,,,744,7.1,1152,0.2521,64,15,21,1.02,49.01960784
AND,6.5,55,11,800,8.6,2309,0.218058333,55,11,24.4,0.73,68.49315068
SGS,1.6,57,24,116,8.9,440,0.113283333,57,24,16.6,1.37,36.49635036
KBS,4,50,17,431,9.7,890,0.290833333,50,17,21,1.02,49.01960784
CWT,3.9,55,17,1460,12.5,1906,0.3936,55,17,21,1.02,49.01960784
KNZ,4.6,11,39,443,12.8,791,0.305758333,11,39,16.6,1.37,36.49635036
JRN,0.65,82,10,229,14.6,298,0.107008333,82,10,16.6,1.37,36.49635036
SEV,0.4,74,12,184,16,254,0.087175,74,12,16.6,1.37,36.49635036
LUQ,4.1,24,55,1050,23,3363,0.84285,51,32,17.8,0.95,52.63157895
RC1,0.14,79,12,100,8.8,258,0,0,0,16.6,1.37,36.49635036
RC2,0.41,43,11,130,9,268,0,0,0,16.6,1.37,36.49635036
RC3,0.64,54,18,175,8.8,268,0,0,0,16.6,1.37,36.49635036
RC4,0.66,60,13,175,8.9,265,0,0,0,16.6,1.37,36.49635036
RC5,0.85,24,34,175,8.7,286,0,0,0,16.6,1.37,36.49635036
RC6,0.85,23,42,250,8.4,329,0,0,0,16.6,1.37,36.49635036
RC7,1.19,24,39,300,8.2,361,0,0,0,16.6,1.37,36.49635036
RC8,1.32,27,26,375,8.2,354,0,0,0,16.6,1.37,36.49635036
RC9,1.44,24,26,450,8.2,353,0,0,0,16.6,1.37,36.49635036
